unitid,inst_name,state_abbr,inst_control,year,risk_score,lib_year,lib_source,lib_physical_books,lib_digital_items,lib_expenditures,lib_fte,lib_staff_fte,lib_arl_member,lib_special_collections_note,lib_unique_flag,lib_note_url
437732,Chicago School of Professional Psychology-College of Nursing,TX,2.0,2022,0.9784303,2019.0,urban,2660.0,760356.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.thechicagoschool.edu
450702,Carrington College-Citrus Heights,CA,3.0,2022,0.9771953,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.carrington.edu
436261,Southwest Acupuncture College-Boulder,CO,3.0,2022,0.9758883,2021.0,urban,2445.0,0.0,,0.38,0.38,False,Unknown — public website did not yield a usable library page for Southwest Acupuncture College-Boulder.,False,
422020,San Joaquin Valley College-Trades Education Center,CA,3.0,2022,0.972367,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Trades Education Center.,False,
445461,Altierus Career College-Bissonnet,TX,2.0,2022,0.9715673,2021.0,urban,,486207.0,,,,False,Unknown — public website did not yield a usable library page for Altierus Career College-Bissonnet.,False,
222938,The Art Institute of Houston,TX,3.0,2022,0.97124434,2021.0,urban,16533.0,369987.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for The Art Institute of Houston.,False,
212993,Hussian College-Philadelphia,PA,3.0,2022,0.9708685,2021.0,urban,1628.0,243041.0,,1.0,1.0,False,Unknown — public website did not yield a usable library page for Hussian College-Philadelphia.,False,
138813,The Art Institute of Atlanta,GA,3.0,2022,0.9687743,2021.0,urban,24681.0,369987.0,158300.0,1.0,2.0,False,Unknown — public website did not yield a usable library page for The Art Institute of Atlanta.,False,
366605,Southwest Acupuncture College-Santa Fe,NM,3.0,2022,0.96850646,2021.0,urban,2088.0,0.0,,0.38,0.38,False,Unknown — public website did not yield a usable library page for Southwest Acupuncture College-Santa Fe.,False,
490559,Gwinnett Institute,FL,3.0,2022,0.9671938,2021.0,urban,1646.0,7231.0,,1.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.gwinnettcollege.edu/library/about
220002,Hussian College-Daymar College Nashville,TN,3.0,2022,0.96713793,2021.0,urban,,121862.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for Hussian College-Daymar College Nashville.,False,
456977,CBT Technology Institute-Cutler Bay,FL,3.0,2022,0.9670861,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.cbt.edu/students/library
481155,Helms College,GA,2.0,2022,0.96693045,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.helms.edu/library/about
459417,Compass College of Film and Media,MI,2.0,2022,0.9663756,2021.0,urban,621.0,0.0,,0.15,0.15,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://compass.edu/students/library
494755,West Virginia Junior College-United Career Institute,PA,3.0,2022,0.9652713,2022.0,urban,88.0,73.0,,1.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://unitedcareer.edu/students/library
237598,Mountain State College,WV,3.0,2022,0.9646724,2022.0,urban,3415.0,776.0,,1.0,1.0,False,Unknown — public website did not yield a usable library page for Mountain State College.,False,
181941,Career College of Northern Nevada,NV,3.0,2022,0.9634017,2021.0,urban,2529.0,60668.0,,0.0,3.0,False,Unknown — public website did not yield a usable library page for Career College of Northern Nevada.,False,
448372,San Joaquin Valley College-Rancho Cordova,CA,3.0,2022,0.9629669,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Rancho Cordova.,False,
262457,San Joaquin Valley College-Fresno,CA,3.0,2022,0.962205,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Fresno.,False,
115728,Holy Names University,CA,2.0,2022,0.96193236,2021.0,urban,37284.0,384357.0,535968.0,4.0,14.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.hnu.edu/library/about
495952,San Joaquin Valley College-Rancho Mirage,CA,3.0,2022,0.96173537,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Rancho Mirage.,False,
475176,San Joaquin Valley College-Temecula,CA,3.0,2022,0.9614792,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Temecula.,False,
443748,Altierus Career College-Norcross,GA,2.0,2022,0.95940113,2021.0,urban,,486207.0,,,,False,Unknown — public website did not yield a usable library page for Altierus Career College-Norcross.,False,
442444,San Joaquin Valley College-Ontario,CA,3.0,2022,0.9587922,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Ontario.,False,
477233,Evangel University-James River Assembly of God Church,MO,2.0,2022,0.95872796,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.evangel.edu/library/about
172440,Finlandia University,MI,2.0,2022,0.95756143,2021.0,urban,50176.0,419314.0,137248.0,1.0,14.5,False,Unknown — public website did not yield a usable library page for Finlandia University.,False,
238430,Cardinal Stritch University,WI,2.0,2022,0.95688033,2021.0,urban,120280.0,341840.0,454348.0,3.0,5.4,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.stritch.edu/library/about
458885,Strayer University-Arkansas,AR,3.0,2022,0.956746,2013.0,urban,1106.0,78964.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.strayer.edu
495961,San Joaquin Valley College-Santa Maria,CA,3.0,2022,0.95672053,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Santa Maria.,False,
488068,Huntington University of Health Sciences,TN,3.0,2022,0.95610684,2021.0,urban,,16751.0,,0.33,0.33,False,Unknown — public website did not yield a usable library page for Huntington University of Health Sciences.,False,
134811,AI Miami International University of Art and Design,FL,3.0,2022,0.9560064,2021.0,urban,24588.0,369987.0,173116.0,1.0,3.0,False,Unknown — public website did not yield a usable library page for AI Miami International University of Art and Design.,False,
442426,St Louis College of Health Careers-Fenton,MO,3.0,2022,0.9559285,2022.0,urban,230.0,1.0,,0.33,0.33,False,Unknown — public website did not yield a usable library page for St Louis College of Health Careers-Fenton.,False,
443571,InterCoast Colleges-West Covina,CA,3.0,2022,0.9556472,2022.0,urban,,26.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for InterCoast Colleges-West Covina.,False,
458955,Strayer University-Mississippi,MS,3.0,2022,0.9551244,2013.0,urban,1120.0,78964.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.strayer.edu
122694,San Joaquin Valley College-Bakersfield,CA,3.0,2022,0.9546789,,,,,,,,False,Unknown — public website did not yield a usable library page for San Joaquin Valley College-Bakersfield.,False,
408729,Laurel Technical Institute,PA,3.0,2022,0.9533138,2021.0,urban,931.0,2.0,,0.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.laurel.edu/library/about
450298,Strayer University-Delaware,DE,3.0,2022,0.95217043,2013.0,urban,1187.0,78964.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.strayer.edu
201751,Chatfield College,OH,2.0,2022,0.9515077,2021.0,urban,15059.0,566428.0,,1.0,1.0,False,Unknown — public website did not yield a usable library page for Chatfield College.,False,
482422,DeVry University-Arizona,AZ,3.0,2022,0.9509984,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.devry.edu
482547,DeVry University-Nevada,NV,3.0,2022,0.95066303,,,,,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://library.devry.edu
209603,Pacific Northwest College of Art,OR,2.0,2022,0.9481594,2020.0,urban,40267.0,105.0,227054.0,0.0,3.45,False,Named holdings on a public library page: Pacific Northwest Artists Archive; Willamette University Archives. Source: https://library.willamette.edu/archives/,True,https://library.willamette.edu/archives/
233082,Southside College of Health Sciences,VA,2.0,2022,0.94384855,2022.0,urban,271.0,36630.0,,0.4,0.4,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.schs.edu/students/library
206279,Union Institute & University,OH,2.0,2022,0.9414654,2021.0,urban,,409836.0,462713.0,2.6,2.6,False,Unknown — public website did not yield a usable library page for Union Institute & University.,False,
107123,Jefferson Regional School of Nursing,AR,2.0,2022,0.9381239,2022.0,urban,,15480.0,,,,False,Unknown — public website did not yield a usable library page for Jefferson Regional School of Nursing.,False,
193380,Montefiore School of Nursing,NY,2.0,2022,0.93659765,2022.0,urban,,7890.0,103980.0,0.1,0.1,False,Unknown — public website did not yield a usable library page for Montefiore School of Nursing.,False,
219295,Presentation College,SD,2.0,2022,0.9335273,2021.0,urban,9065.0,321249.0,189172.0,2.0,7.0,False,Unknown — public website did not yield a usable library page for Presentation College.,False,
461759,Simmons College of Kentucky,KY,2.0,2022,0.9324483,2022.0,urban,5940.0,362256.0,131219.0,1.0,2.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://simmonscollegeky.edu/library/about
486433,Presidio Graduate School,CA,2.0,2022,0.93208474,2022.0,urban,,6004.0,,0.15,0.15,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.presidio.edu/students/library
454184,The King's College,NY,2.0,2022,0.93200105,2021.0,urban,6000.0,230037.0,122487.0,1.0,11.0,False,Unknown — public website did not yield a usable library page for The King's College.,False,
418126,New York College of Health Professions,NY,2.0,2022,0.93187475,2022.0,urban,3000.0,11.0,,1.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.nycollege.edu/library
192925,Medaille University,NY,2.0,2022,0.9314715,2021.0,urban,43396.0,620503.0,508875.0,3.0,7.5,False,Unknown — public website did not yield a usable library page for Medaille University.,False,
188687,American Academy McAllister Institute of Funeral Service,NY,2.0,2022,0.930645,2022.0,urban,4000.0,55000.0,,,,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.funeraleducation.org/library
195702,Saint Elizabeth College of Nursing,NY,2.0,2022,0.92932725,2022.0,urban,186.0,1600.0,,1.0,1.0,False,"Public library pages were reached; nothing distinctive (named special collection, archive, or rare-book area) was published.",False,https://www.secon.edu/library/about
149763,Oak Point University,IL,2.0,2022,0.92234635,2022.0,urban,4140.0,139000.0,277454.0,1.0,6.0,False,Unknown — public website did not yield a usable library page for Oak Point University.,False,
246345,Houston Graduate School of Theology,TX,2.0,2022,0.9221559,2021.0,urban,,35573.0,,0.0,1.0,False,Unknown — public website did not yield a usable library page for Houston Graduate School of Theology.,False,
